Link;KvK/ID;Vestnr;RSIN;Vennootschapsnaam;Rechtsvorm;Hoofd/Neven;Status;SBI Hoofdact;Omschrijving (hoofdact);SBI Nevenact1;Omschrijving (nevenact1);SBI Nevenact2;Omschrijving (nevenact2);Non-Mailing;Straatnaam;Huisnr;Toevoeging huisnr;Postcode;Woonplaats;Straatnaam CA;Huisnr CA;Toevoeg huisnr CA;Postcode CA;Woonplaats CA;Gemeente;Provincie;Landcode;Tel. Netnr.;Tel. Abnnr.;Domeinnaam;Functie;Voorletters;Voorvoegsels;Achternaam;Sexe;Mobiel Nr.;Employees;Werknemers;Econ. Actief;Import;Export;Aantal Dochters;Datum Inschrijving;Datum akte oprichting;Datum opheffing;Datum oprichting;Datum voortzetting;Huidig adres;Dep. jaarstuk;Soort jaarstuk;Auditor;YearTPE;Turnover (€);Profit (€);Total assets (€);Stock exchange;Banks;Ultimate (Dutch) Parent
Baker Hughes B.V.;272742430000;000019166516;814428721;Baker Hughes B.V.;B.V.;H;Ingeschreven;610;Winning van aardolie;;;;;;Wijkermeerweg;7;0001;1951AH;VELSEN-NOORD;Postbus;4;;1950AA;VELSEN-NOORD;Velsen;Noord-Holland;NL;0251;260500;;Bestuurder;A.;de;Heer;M;;1190;200-499;1;;;;3/20/13;1/26/05;;1/26/05;;3/12/13;2012;Vastgesteld jaarstuk;N.N.;2012;257.871.971;-18.661.324;285.313.066;;;
Applied Materials Europe B.V.;340627690000;000016075331;006790872;Applied Materials Europe B.V.;B.V.;H;Ingeschreven;4652;GH elektronische/telecommunicatieapp.;;;;;;Spicalaan;57;;2132JG;HOOFDDORP;Spicalaan;57;;2132JG;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;023;5656111;;Bestuurder;M.;;Huis;M;;48;20-49;1;N;N;;2/3/87;11/23/83;;11/23/83;;5/5/08;2013;Vastgesteld jaarstuk;KPMG;2013;255.366.000;4.121.000;586.200.000;;Citybank;
comScore B.V.;332812700000;000013650750;805324069;comScore B.V.;B.V.;H;Ingeschreven;6201;Ontwikkelen/produceren/uitgeven software;;;;;Geactiveerd;Herikerbergweg;280;;1101CT;AMSTERDAM;Herikerbergweg;280;;1101CT;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5195400;www.comscore.com;Bestuurder;G.T.;;Dale;M;;;100-199;1;N;N;;6/12/96;10/10/97;;10/10/97;10/10/97;6/25/07;2012;Vastgesteld jaarstuk;E&Y;2012;255.193.000;-11.789.000;336.485.000;;ING Bank;
Hill International N.V.;509196790000;000020917333;822997502;Hill International N.V.;N.V.;H;Ingeschreven;4110;Projectontwikkeling;6420;Financiële holdings;;;Geactiveerd;De Cuserstraat;91;;1081CN;AMSTERDAM;De Cuserstraat;91;;1081CN;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4287066;;Bestuurder;R.S.;;Ghali;N;;2472;50-99;1;N;N;;9/28/10;9/27/10;;9/27/10;;3/1/13;2013;Vastgesteld jaarstuk;PKF Wallast;2013;253.957.000;16.248.000;192.826.000;;;
NUON Power Generation B.V.;300846560000;000018839703;008954112;Nuon Power Generation B.V.;B.V.;H;Ingeschreven;35111;Prod.elektr.(therm./kern-/warmtekracht);;;;;;Hoekenrode;8;;1102BR;AMSTERDAM;Postbus;41920;;1009DC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5878234;;;;;;;;671;200-499;1;;;;12/5/14;3/1/88;;3/1/88;12/21/01;12/5/14;2014;;PwC;2008;253.616.000;70.343.000;1.707.746;;ABN AMRO;N.V. Nuon Energy
Fluor Europe B.V.;340920410000;000016321332;803925876;Fluor Europe B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Taurusavenue;155;;2132LS;HOOFDDORP;Postbus;1381;;2130EL;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;023;5432432;;Bestuurder;M.J.H.;;Kuitems;M;;1393;;0;N;N;;6/14/95;6/7/95;;6/7/95;;1/5/15;2013;Vastgesteld jaarstuk;E&Y;2013;253.487.000;21.623.000;173.369.000;;ABN AMRO;
KPMG Accountants N.V.;332636830000;000018238769;803417524;KPMG Accountants N.V.;N.V.;H;Ingeschreven;69201;Registeraccountants;;;;;Geactiveerd;Laan van Langerhuize;1;;1186DS;AMSTELVEEN;Postbus;74500;;1070DB;AMSTERDAM;Amstelveen;Noord-Holland;NL;020;6567890;www.kpmg.nl;Bestuurder;M.;;Hogeboom;M;;;;1;N;N;;11/15/94;12/30/94;;12/30/94;12/30/94;1/18/10;2013;Vastgesteld jaarstuk;Grant Thornton;2013;252.645.000;6.316.000;62.109.000;;ABN AMRO, Rabobank, ING Bank;
Sticht. Pens.fds. voor de Grafische Bedrijven;411985350001;000020780281;002954795;Stichting Pensioenfonds voor de Grafische Bedrijven;Stichting;H;Ingeschreven;65303;Beroepspensioenfondsen;;;;;Geactiveerd;Arent Janszoon Ernststr;595;H;1082LD;AMSTERDAM;Arent Janszoon Ernststr;595;H;1082LD;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;7532950;www.pensioenfondspgb.nl;Bestuurder;R.;;Degenhardt;M;;8;5-9;1;N;N;6;9/3/10;5/22/53;;5/22/53;;5/9/11;2013;Vastgesteld jaarstuk;E&Y;2013;251.000.000;584.000.000;14.757.000.000;;;
Pricewaterhousecoop. Belastingadviseurs N.V.;341802840000;000018181406;811099775;PricewaterhouseCoopers Belastingadviseurs N.V.;N.V.;H;Ingeschreven;69204;Belastingconsulenten;;;;;;Thomas R. Malthusstraat;5;;1066JR;AMSTERDAM;Postbus;90358;;1006BJ;AMSTERDAM;Amsterdam;Noord-Holland;NL;088;7920020;;Bestuurder;S.A.;;Boonstra;M;;978;1000>;1;N;N;;1/5/04;11/1/02;;11/1/02;11/1/02;12/15/05;2014;Vastgesteld jaarstuk;KPMG;2014;250.536.000;41.765.000;85.864.000;;;Holding Pricewaterhousecoopers Nederland B.V.
Eni Tunisia B.V.;332761120000;000018295096;804588442;Eni Tunisia B.V.;B.V.;H;Ingeschreven;50201;"Zee-/kustvaart(vracht/tank; geen sleep)";;;;;Geactiveerd;Strawinskylaan;1725;;1077XX;AMSTERDAM;Strawinskylaan;1725;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5707100;;Bestuurder;R.;;Castriota;M;;306;;0;N;N;;1/8/96;12/22/95;;12/22/95;;11/25/05;2013;Vastgesteld jaarstuk;E&Y;2013;248.656.135;8.430.729;432.070.272;;ABN AMRO;
Gemeente Amsterdam Oost-Watergraafsmeer;k4n1q;;;Gemeente Amsterdam Oost-Watergraafsmeer;;;Ingeschreven;;;;;;;;Oranje-Vrijstaatplein;2;;1093NG;AMSTERDAM;Postbus;94801;;1090GV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;2535444;www.oost-watergraafsmeer.nl;;;;;;;;;;;;;;;;;;;;;N.N.;2008;248.004.613;1.627.246;241.794.535;;;
COMPAREX Nederland B.V.;332263990000;000018730760;801250857;COMPAREX Nederland B.V.;B.V.;H;Ingeschreven;4651;GH computers, randapparatuur en software;6202;Advisering ohgv informatietechnologie;;;;Naritaweg;177;;1043BW;AMSTERDAM;Postbus;9460;;1006AL;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;7114800;www.comparex.nl;Bestuurder;M.;;Betgem;M;;94;50-99;1;J;J;;1/29/91;12/31/90;;12/31/90;12/31/90;2/27/06;2014;Vastgesteld jaarstuk;Deloitte;2014;247.958.394;4.422.301;90.641.988;;ING Bank;
Wurfbain;350212700000;000018220134;007721468;Wurfbain B.V.;B.V.;H;Ingeschreven;46769;GH overige intermediaire producten neg.;;;;;;Ankersmidplein;2;;1506CK;ZAANDAM;Ankersmidplein;2;;1506CK;ZAANDAM;Zaanstad;Noord-Holland;NL;075;6810810;www.wurfbain.com;Bestuurder;J.;;Maats;M;;21;20-49;1;J;J;;5/31/90;5/28/85;;5/28/85;5/28/85;4/6/10;2013;Vastgesteld jaarstuk;BDO;2013;247.726.707;3.865.021;63.008.392;;ABN AMRO, ING Bank;
KUFPEC Indonesia (Natuna) B.V.;273049740000;000016657691;818418564;KUFPEC Indonesia (Natuna) B.V.;B.V.;H;Ingeschreven;19201;Aardolieraffinage;6420;Financiële holdings;;;;Rapenburgerstraat;177;K;1011VM;AMSTERDAM;Postbus;990;;1000AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;070;3633555;;Bestuurder;N.S.N.;;Alsabah;N;;;1;0;;;;1/2/14;8/31/07;;8/31/07;;12/20/13;2013;;PwC;2012;247.478.176;97.078.001;282.877.628;;;
L'Oréal Nederland B.V.;320250400000;000016050517;001131679;L'Oréal Nederland B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;4645;Groothandel in parfums en cosmetica;;;;Scorpius;1;;2132LR;HOOFDDORP;Postbus;505;;2130AM;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;023;5499499;;Bestuurder;J.P.;;Bondy;M;;423;200-499;1;N;N;;4/1/08;12/13/68;;12/13/68;12/19/09;3/25/08;2012;Vastgesteld jaarstuk;Deloitte;2012;246.956.000;26.679.000;97.832.000;;ABN AMRO, Fortis Bank, ING Bank;
Ricoh International B.V.;332430980000;000016294793;008463827;Ricoh International B.V.;B.V.;H;Ingeschreven;70222;Advisering ohgv management/bedrijfsv.;;;;;;Prof. W.H. Keesomlaan;1;;1183DJ;AMSTELVEEN;Postbus;114;;1180AC;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5474111;;Bestuurder;H.R.;;Pedersen;M;;174;20-49;1;N;N;;10/13/06;8/20/86;;8/20/86;;10/1/06;2014;Vastgesteld jaarstuk;KPMG;2013;246.721.000;16.456.000;220.316.000;;ABN AMRO;
ROC Amsterdam;412164210001;000018235565;805363348;Stichting Regionaal Opleidingencentrum van Amsterdam;Stichting;H;Ingeschreven;85314;Brede scholengemeens. voor voortg. ond.;;;;;Geactiveerd;Fraijlemaborg;141;;1102CV;AMSTERDAM;Postbus;2584;;1000CN;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5791000;www.rocva.nl;;;;;;020-5791098;2359;;0;N;N;;2/9/10;10/2/96;;10/2/96;;4/17/13;;;;2013;246.523.000;5.769.000;253.300.000;;;
Stichting Evean;370929500000;;810242692;Stichting Evean;Stichting;;Ingeschreven;88999;Overig maatsch.adv./gemeenschapshuizen;;;;;;Waterlandplein;5;;1441RP;PURMEREND;Postbus;68;;1440AB;PURMEREND;Purmerend;Noord-Holland;NL;;;www.evean.nl;;;;;;;4168;10-19;1;;;;1/17/05;11/7/00;;11/7/00;;;;;PwC;2007;246.356.931;-11.481;132.802.786;;;
AbbVie B.V.;549140940000;000024628867;851489370;AbbVie B.V.;B.V.;H;Ingeschreven;46461;Groothandel in farmaceutische producten;;;;;Geactiveerd;Wegalaan;9;;2132JD;HOOFDDORP;Wegalaan;9;;2132JD;HOOFDDORP;Haarlemmermeer;Noord-Holland;NL;088;8222688;;Bestuurder;G.;;Capuano;M;;189;;1;J;J;;3/20/12;3/19/12;;3/19/12;;;2013;Vastgesteld jaarstuk;E&Y;2013;245.445.636;9.677.368;60.413.182;;;Abbott Nederland C.V.
Intrum Justitia B.V.;332734720000;000016905040;803367375;Intrum Justitia B.V.;B.V.;H;Ingeschreven;8291;Kredietinformatie- en incassobureaus;;;;;;Tupolevlaan;107;;1119PA;SCHIPHOL-RIJK;Tupolevlaan;107;;1119PA;SCHIPHOL-RIJK;Haarlemmermeer;Noord-Holland;NL;070;4527000;;Bestuurder;C.E.;;Kalteren;V;;2393;;0;N;N;;1/7/11;12/27/93;;12/27/93;;7/1/12;2014;;PwC;2001;245.021.142;1.026.496;335.141.284;Stockholm;;
Zara Holding B.V.;200802720000;000016299140;008753489;Zara Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Nieuwezijds Voorburgwal;307;;1012RM;AMSTERDAM;Nieuwezijds Voorburgwal;307;;1012RM;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5309650;;Bestuurder;J.M.;;Romay de la Colina;M;;16;10-19;1;;;;4/12/05;8/26/88;;8/26/88;8/26/88;4/1/05;2014;Vastgesteld jaarstuk;KPMG;2014;244.668.438;238.740.732;1.380.498.763;;ABN AMRO, Fortis Bank;
Ti Holland Coöperatieve UA;343029490000;000009890157;819507921;Ti Holland Coöperatieve U.A.;Coöperatie;H;Ingeschreven;6420;Financiële holdings;;;;;;Schiphol Boulevard;231;;1118BH;SCHIPHOL;Schiphol Boulevard;231;;1118BH;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;5708100;;Bestuurder;M.M.M.;;Kiswani;N;;479;;0;N;N;;5/29/08;5/29/08;;5/29/08;;10/1/12;2013;Vastgesteld jaarstuk;E&Y;2013;244.536.344;5.691.697;235.937.321;;;
Crédit Agricole Consumer Finance Nederland BV;331835200000;000016390628;007721687;Crédit Agricole Consumer Finance Nederland B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;64303;Beleggingsinst. met beperkte toetreding;Geactiveerd;Entrada;600;;1114AA;AMSTERDAM-DUIVENDRECHT;Postbus;855;;1000AW;AMSTERDAM;Ouder-Amstel;Noord-Holland;NL;020;6608608;;Bestuurder;C.;;Droppert;M;;360;200-499;1;N;N;;9/3/85;8/1/85;;8/1/85;;11/6/07;2013;Vastgesteld jaarstuk;E&Y;2013;242.565.000;10.062.000;2.599.379.000;;;
N.V. HVC;370612600000;000000462225;009459005;N.V. HVC;N.V.;H;Ingeschreven;3821;Behandeling van onschadelijk afval;;;;;;Jadestraat;1;;1812RD;ALKMAAR;Postbus;9199;;1800GD;ALKMAAR;Alkmaar;Noord-Holland;NL;072;5411311;www.huisvuilcentrale.nl;Bestuurder;W.C.H.;van;Lieshout;M;;872;200-499;1;N;N;43;4/22/91;4/10/91;;4/10/91;4/10/91;3/1/95;2013;Vastgesteld jaarstuk;PwC;2013;242.283.000;-4.940.000;1.030.485.000;;ABN AMRO, ING Bank;
LBi International N.V.;302773340000;000002987392;821732997;LBi International N.V.;N.V.;H;Ingeschreven;7112;Ingenieurs/overig techn. ontwerp/advies;6202;Advisering ohgv informatietechnologie;;;Geactiveerd;Joop Geesinkweg;209;;1114AB;AMSTERDAM-DUIVENDRECHT;Joop Geesinkweg;209;;1114AB;AMSTERDAM-DUIVENDRECHT;Ouder-Amstel;Noord-Holland;NL;020;4604500;www.lbi.com;Bestuurder;L.A.J.;;Taylor;M;;2100;2-4;1;;;3;8/2/10;12/28/09;;12/28/09;;7/29/10;2012;Vastgesteld jaarstuk;PwC;2012;241.200.000;-6.000.000;398.800.000;;;
Benovem B.V.;341579760000;000013108042;810181320;Benovem B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Kopraweg;1;;1047BP;AMSTERDAM;Postbus;770;;1000AT;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5805333;;Bestuurder;A.F.B.M.;;Beerkens;M;;492;;0;N;N;24;6/21/01;9/4/01;;9/4/01;9/4/01;;2013;Vastgesteld jaarstuk;KPMG;2013;240.945.000;517.000;136.899.000;;ABN AMRO;
Saipem International B.V.;332608260000;000018929044;803176272;Saipem International B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;;;;Strawinskylaan;1727;;1077XX;AMSTERDAM;Strawinskylaan;1727;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;7195700;;Bestuurder;G.;di;Pietro;M;;7;5-9;1;N;N;;8/1/94;7/27/94;;7/27/94;;5/26/05;2013;Vastgesteld jaarstuk;E&Y;2013;240.603.000;239.413.000;1.691.625.000;;ABN AMRO;
Stichting Pensioenfonds MSD;412224080000;000012005428;002916071;Stichting Pensioenfonds MSD;Stichting;H;Ingeschreven;65301;Bedrijfspensioenfondsen;;;;;;Waarderweg;39;;2031BN;HAARLEM;Postbus;581;;2003PC;HAARLEM;Haarlem;Noord-Holland;NL;023;5153153;;Bestuurder;F.R.M.;;Mattijssen;M;;;;0;N;N;;8/31/00;;;12/27/72;;;2013;Vastgesteld jaarstuk;PwC;2013;240.446.000;288.161.000;1.601.942.000;;;
Advanced Travel Partners Nederland B.V.;060862230000;000017066298;806626707;Advanced Travel Partners Nederland B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Beechavenue;101;;1119RB;SCHIPHOL-RIJK;Postbus;75672;;1118ZS;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;2011200;www.atp.nl;;;;;;;356;;0;N;N;;1/14/99;2/12/98;;2/12/98;;12/1/01;2013;Vastgesteld jaarstuk;Deloitte;2013;237.611.685;892.839;48.897.066;;ABN AMRO, ING Bank;
Tornier N.V.;342507810000;000013064096;815988357;Tornier N.V.;N.V.;H;Ingeschreven;46462;GH med./tandheelk.instr./verpl.art. e.d.;4618;HB gespecialiseerd in overige goederen;6420;Financiële holdings;Geactiveerd;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Postbus;990;;1000AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;Bestuurder;E.H.;;Weatherman;V;;8;;1;N;N;1;6/23/06;6/23/06;;6/23/06;;12/9/13;2013;Vastgesteld jaarstuk;E&Y;2013;237.292.813;-48.961.259;507.203.572;;;
G.P. Groot Beheer B.V.;370657380000;000016478258;801892922;G.P. Groot Beheer B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Vennewatersweg;2;b;1852PT;HEILOO;Postbus;76;;1850AB;HEILOO;Heiloo;Noord-Holland;NL;072;5311355;;Bestuurder;M.J.M.;;Wester;M;072-5311311;582;1;0;;;;1/19/93;12/30/92;;12/30/92;;9/1/95;2013;Vastgesteld jaarstuk;Deloitte;2013;236.665.447;3.110.241;87.044.674;;ING Bank;Stichting Administratiekantoor 'G.P. Groot'
G.P. Groot B.V.;370414330000;000002264641;004274295;G.P. Groot B.V.;B.V.;H;Ingeschreven;45192;Handel/rep. zwaardere bedrijfsauto's;;;;;;Vennewatersweg;2;b;1852PT;HEILOO;Postbus;76;;1850AB;HEILOO;Heiloo;Noord-Holland;NL;072;5311355;www.gpgroot.nl;Bestuurder;M.J.M.;;Wester;M;;582;20-49;1;N;N;;2/17/78;12/21/77;;12/21/77;12/21/77;9/1/95;2013;Vastgesteld jaarstuk;Deloitte;2013;236.614.836;3.108.709;76.062.771;;ING Bank;Stichting Administratiekantoor 'G.P. Groot'
NS Internationaal B.V.;301721950000;000019309430;809507572;NS Internationaal B.V.;B.V.;H;Ingeschreven;4910;Pers.vervoer per spoor (geen tram/metro);;;;;Geactiveerd;Stationsplein;9;;1012AB;AMSTERDAM;Postbus;2812;;3500GV;UTRECHT;Amsterdam;Noord-Holland;NL;088;6711528;;;;;;;;1803;200-499;1;N;N;;7/13/07;4/2/01;;4/2/01;4/2/01;5/21/07;2014;;KPMG;2012;234.498.000;17.419.000;206.906.000;;;Ministerie van Financiën
Yacht Group Nederland B.V.;331831770000;000017978548;001300933;Yacht Group Nederland B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64923;Participatiemaatschappijen;6810;Handel in eigen onroerend goed;;Diemermere;25;;1112TC;DIEMEN;Postbus;12610;;1100AP;AMSTERDAM;Diemen;Noord-Holland;NL;020;5197777;www.yachtgroup.com;Bestuurder;A.J.;;Hopmans;M;;3100;50-99;1;N;N;;8/12/85;12/28/64;;12/28/64;10/12/72;7/6/92;2014;;PwC;2001;232.839.000;-806.000;64.523.000;;ABN AMRO, Fortis Bank, Rabobank;RANDSTAD HOLDING N.V.
Habitat Holding;242381410000;000017495032;800013633;Habitat Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Herikerbergweg;238;Luna ArenA;1101CM;AMSTERDAM;Postbus;23393;;1100DW;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5755600;;Bestuurder;H.W.;;Foster;M;;1577;;1;N;N;;11/1/99;8/29/90;;8/29/90;;3/12/12;2013;Voorlopig jaarstuk;Deloitte;2010;231.100.000;-42.700.000;88.400.000;;ABN AMRO;
ComTrade Group;243838220000;000017401194;815187063;ComTrade Group B.V.;B.V.;H;Ingeschreven;6202;Advisering ohgv informatietechnologie;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Postbus;990;;1000AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;;;;;;;1061;;0;N;N;;1/3/08;9/23/05;;9/23/05;;12/9/13;2013;Vastgesteld jaarstuk;KPMG;2013;231.028.000;6.022.000;98.296.000;;;
STX Services B.V.;342739780000;000018290388;817985177;STX Services B.V.;B.V.;H;Ingeschreven;3513;Distr. elektr./gasv.brandst. via leiding;;;;;Geactiveerd;Vijzelstraat;79;A;1017HG;AMSTERDAM;Vijzelstraat;79;A;1017HG;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5357770;www.carbonvrij.nl;Bestuurder;M.A.;van;Meer;M;020-5357771;50;20-49;1;N;N;;5/16/07;5/12/07;;5/12/07;5/12/07;8/27/12;2014;Vastgesteld jaarstuk;PwC;2014;230.069.964;2.590.437;10.042.647;;;
Rochdale;330127010000;000011138890;002566187;Woningstichting Rochdale;Stichting;H;Ingeschreven;68201;Woningbouwverenigingen en -stichtingen;;;;;Geactiveerd;Bos en Lommerplein;303;;1055RW;AMSTERDAM;Postbus;56659;;1040AR;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5652555;www.rochdale.nl;Bestuurder;N.T.J.;;Overdevest;M;;423;100-199;1;N;N;96;9/28/21;11/5/03;;11/5/03;;11/22/04;2013;Vastgesteld jaarstuk;Ernst & Young;2013;229.289.000;56.513.000;4.141.791.000;;ABN AMRO, ING Bank;
MS Mode Group B.V.;513310120000;000021379483;823224296;MS Mode Group B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Diemermere;1;;1112TA;DIEMEN;Diemermere;1;;1112TA;DIEMEN;Diemen;Noord-Holland;NL;020;5809911;;Bestuurder;E.M.;;Hoebe;V;;1634;;0;N;N;;4/14/11;11/22/10;;11/22/10;;9/29/14;2013;Vastgesteld jaarstuk;KPMG;2013;228.262.000;-983.000;82.554.000;;;Retail Beheer B.V.
Avid Technology International B.V.;332486030000;000018339476;801894530;Avid Technology International B.V.;B.V.;H;Ingeschreven;6201;Ontwikkelen/produceren/uitgeven software;4651;GH computers, randapparatuur en software;6420;Financiële holdings;;Kabelweg;37;;1014BA;AMSTERDAM;Kabelweg;37;;1014BA;AMSTERDAM;Amsterdam;Noord-Holland;NL;035;6250080;www.avid.com;Bestuurder;P.G.;;O'beirne;M;;54;2-4;1;N;N;;4/1/14;5/25/93;;5/25/93;;4/1/14;2012;Voorlopig jaarstuk;Ernst & Young;2011;227.851.658;-6.986.856;120.277.519;;;
Eni China B.V.;332806710000;000020287267;804884912;Eni China B.V.;B.V.;H;Ingeschreven;50201;"Zee-/kustvaart(vracht/tank; geen sleep)";;;;;;Strawinskylaan;1725;;1077XX;AMSTERDAM;Strawinskylaan;1725;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5707100;;Bestuurder;R.;;Castriota;M;;64;;0;N;N;;5/23/96;5/13/96;;5/13/96;;11/25/05;2013;Vastgesteld jaarstuk;E&Y;2013;227.825.794;-6.030.016;112.512.990;;;
Santos Petroleum Ventures B.V.;272672800000;000018324339;813310763;Santos Petroleum Ventures B.V.;B.V.;H;Ingeschreven;610;Winning van aardolie;;;;;;Teleportboulevard;140;;1043EJ;AMSTERDAM;Postbus;2838;;1000CV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5405800;;Bestuurder;D.J.W.;;Knox;M;;;;0;;;;10/2/07;5/11/04;;5/11/04;;8/24/07;2013;Vastgesteld jaarstuk;E&Y;2013;227.541.921;74.225.211;312.999.964;;;
KUFPEC Pakistan Holdings B.V.;341105290000;000019610726;809314678;KUFPEC Pakistan Holdings B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Rapenburgerstraat;177;k;1011VM;AMSTERDAM;Postbus;990;;1000AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5270100;;Bestuurder;N.S.N.;;Alsabah;N;;;;0;N;N;;1/2/14;1/6/99;;1/6/99;;12/20/13;2013;Vastgesteld jaarstuk;PwC;2013;226.257.624;55.740.640;238.139.854;;;
G. Kramer & Zonen Beheer B.V.;370000360000;000018525318;001723650;G. Kramer & Zonen Beheer B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Debbemeerweg;2;;1749DK;WARMENHUIZEN;Postbus;14;;1749ZG;WARMENHUIZEN;Schagen;Noord-Holland;NL;0226;396000;;;;;;;;673;1;0;N;N;;1/16/59;11/29/58;;11/29/58;10/19/72;12/24/07;2013;Vastgesteld jaarstuk;E&Y;2013;225.805.079;9.062.016;115.156.671;;ABN AMRO, ING Bank;
Delta Lloyd Investment Fund N.V.;331044670000;000018802532;008610010;Delta Lloyd Investment Fund N.V.;N.V.;H;Ingeschreven;64301;Beleggingsinstell. in financiële activa;;;;;;Amstelplein;6;;1096BC;AMSTERDAM;Amstelplein;6;;1096BC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5949111;;;;;;;;;;0;N;N;;1/24/61;11/8/60;;11/8/60;8/17/87;1/4/10;2013;Vastgesteld jaarstuk;E&Y;2013;224.515.000;204.928.000;1.736.936.000;EuroNext;ABN AMRO, KAS BANK, MeesPierson;
Blue Stream Pipeline Company B.V.;341237630000;000015225887;808612980;Blue Stream Pipeline Company B.V.;B.V.;H;Ingeschreven;4950;Transport via pijpleidingen;;;;;Geactiveerd;Strawinskylaan;845;;1077XX;AMSTERDAM;Strawinskylaan;845;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5707133;;Bestuurder;B.;;Budzulyak;N;;43;2-4;1;N;N;;11/17/99;11/16/99;;11/16/99;;10/1/02;2012;Vastgesteld jaarstuk;PwC;2012;223.753.530;73.666.870;1.581.610.772;;;
Scheybeeck N.V.;342604640000;000014917661;817258905;Scheybeeck N.V.;Buitenlandse op EG-vennootschap lijkende vennootsc;H;Ingeschreven;64923;Participatiemaatschappijen;6420;Financiële holdings;6810;Handel in eigen onroerend goed;;Velserweg;2;;1942LD;BEVERWIJK;Velserweg;2;;1942LD;BEVERWIJK;Beverwijk;Noord-Holland;NL;0251;262727;;Bestuurder;T.M.C.;;Burger;M;;848;;0;N;N;78;11/22/06;;;;;;2013;Vastgesteld jaarstuk;Deloitte;2013;223.223.174;9.058.000;250.672.000;;;
Legal & General;320379020000;000018707823;005701958;Legal & General Nederland Levensverzekering Maatschappij N.V.;N.V.;H;Ingeschreven;65111;Levensverzekeringen (geen herverzekeren);;;;;;Laapersveld;68;;1213VB;HILVERSUM;Postbus;4;;1200AA;HILVERSUM;Hilversum;Noord-Holland;NL;035;6252525;www.landg.nl;Bestuurder;A.T.;;Dolders;M;;187;100-199;1;;;;3/1/84;3/1/84;;3/1/84;;6/23/90;2012;Vastgesteld jaarstuk;PwC;2013;222.451.000;21.024.000;2.294.820.000;;ABN AMRO, F. van Lanschot, ING Bank;
Norgine B.V.;301270070000;000017867541;007916693;Norgine B.V.;B.V.;H;Ingeschreven;46461;Groothandel in farmaceutische producten;;;;;;Hogehilweg;7;;1101CA;AMSTERDAM ZUIDOOST;Hogehilweg;7;;1101CA;AMSTERDAM ZUIDOOST;Amsterdam;Noord-Holland;NL;020;5670900;;Bestuurder;P.M.;;Stein;M;;39;10-19;1;J;J;;2/14/00;10/2/87;;10/2/87;;2/14/00;2013;Vastgesteld jaarstuk;PwC;2013;221.719.000;-5.425.000;235.875.000;;ABN AMRO, Rabobank;Norgine Europe B.V.
